iter	RMSE
176	0.4756419292
177	0.4753224354
178	0.4748722295
179	0.4745059648
180	0.4737234636
181	0.4732571723
182	0.4726935936
183	0.472336651
184	0.4719555317
185	0.4714348254
186	0.4711223358
187	0.4708278997
188	0.4704392048
189	0.4700309815
190	0.469576634
191	0.469112875
192	0.4688685249
193	0.4685901888
194	0.4683823179
195	0.4679715156
196	0.4675402155
197	0.4672196577
198	0.4667617824
199	0.4663009326
200	0.4660174327
201	0.4656659055
202	0.4653558984
203	0.4649738168
204	0.4645958999
205	0.4642803424
206	0.4637988381
207	0.4634273416
208	0.4630307241
209	0.4625530089
210	0.4621107593
211	0.4617787019
212	0.4614174867
213	0.4610160389
214	0.4606105682
215	0.46034103
216	0.4598820179
217	0.4594168728
218	0.4590693891
219	0.4586747931
220	0.4581154377
221	0.4577425314
222	0.4573160898
223	0.4569736
224	0.456698646
225	0.4564207151
226	0.4561394965
227	0.4557697636
228	0.4555152816
229	0.4552623475
230	0.4549073888
231	0.4545260722
232	0.4543247887
233	0.454140457
234	0.4537864475
235	0.4535410166
236	0.4530036948
237	0.4527166827
238	0.4524230676
239	0.452042065
240	0.4517636268
241	0.4514790823
242	0.4511758857
243	0.4510210318
244	0.4508235254
245	0.4504650497
246	0.450138459
247	0.449888495
248	0.4496410281
249	0.449388626
250	0.4491011745
251	0.4487559008
252	0.44828861
253	0.4480053781
254	0.4476940615
255	0.4475103017
256	0.4472232445
257	0.4469525182
258	0.4466919048
259	0.4463050101
260	0.4460094196
261	0.445715371
262	0.4454769248
263	0.4451972322
264	0.4450003293
265	0.4447879615
266	0.4444709116
267	0.4441954845
268	0.443961235
269	0.4437798281
270	0.4433967692
271	0.4431711635
272	0.4427586172
273	0.4424407463
274	0.4421118271
275	0.4417848612
276	0.4415405245
277	0.4413040058
278	0.4410938087
279	0.4408143415
280	0.4406200083
281	0.4404322032
282	0.4401897514
283	0.4399792273
284	0.4396992057
285	0.4394773177
286	0.4392307952
287	0.4390162925
288	0.4387140826
289	0.4384726833
290	0.4380703033
291	0.4378807373
292	0.4377509815
293	0.4375607471
294	0.4372856611
295	0.4370060697
296	0.4367399296
297	0.4364166229
298	0.4361997009
299	0.4360854679
300	0.4359174761
301	0.4357335781
302	0.4355155151
303	0.4352573234
304	0.434963793
305	0.4347122027
306	0.4345115998
307	0.434275171
308	0.434077276
309	0.4338540432
310	0.433593883
311	0.4334452661
312	0.4330108052
313	0.4327486164
314	0.4325322168
315	0.4323786575
316	0.4322359982
317	0.4317340643
318	0.431470178
319	0.431202122
320	0.4309620787
321	0.4305894096
322	0.4304211646
323	0.4301408484
324	0.4298800644
325	0.4296662958
326	0.429553729
327	0.4294006101
328	0.4291740339
329	0.4288822968
330	0.4286973554
331	0.4284208263
332	0.4280794537
333	0.4278952221
334	0.4276931004
335	0.4274029699
336	0.4272168951
337	0.4269968543
338	0.4267133304
339	0.4265221248
340	0.4263356804
341	0.4259626567
342	0.4256720251
343	0.4253872778
344	0.4251699339
345	0.4249891535
346	0.42475149
347	0.4245471812
348	0.4243938488
349	0.4241907874
350	0.4240230928
351	0.423787885
352	0.4236408877
353	0.4234943407
354	0.423334984
355	0.4232139282
356	0.4229035345
357	0.4226328209
358	0.4225046245
359	0.4223569962
360	0.4220213346
361	0.4218242186
362	0.4217290174
363	0.4215861756
364	0.4214260758
365	0.4212476433
366	0.4210321745
367	0.4208414823
368	0.4206474924
369	0.4204618284
370	0.4202975785
371	0.4200661702
372	0.4198680127
373	0.4196873049
374	0.4195801667
375	0.4194036075
376	0.4192355027
377	0.4190150096
378	0.4188668942
379	0.4187642771
380	0.4185973269
381	0.4184275716
382	0.4180326436
383	0.4178052701
384	0.4175749553
385	0.4174092149
386	0.4172658236
387	0.4171680781
388	0.4170453532
389	0.4168578009
390	0.4167224939
391	0.4164862575
392	0.4163178096
393	0.4161345699
394	0.4159946807
395	0.4158370864
396	0.4156195726
397	0.4153777361
398	0.4152945592
399	0.4151418532
400	0.4149466715
401	0.4147232509
402	0.4145973703
403	0.4144175528
404	0.41407044
405	0.4139324409
406	0.4137184966
407	0.413343139
408	0.4131551151
409	0.4128880325
410	0.4127004954
411	0.4125601773
412	0.412352679
413	0.4121876172
414	0.4120282061
415	0.4118126647
416	0.4116348477
417	0.4115148989
418	0.4113466437
419	0.4111621125
420	0.4109654974
421	0.4107602535
422	0.4106183668
423	0.4104901194
424	0.4103363944
425	0.4101591827
426	0.4100165304
427	0.4098787007
428	0.4097116013
429	0.4095871652
430	0.4093842658
431	0.4092844231
432	0.4090695839
433	0.4088380529
434	0.4085145419
435	0.4082902986
436	0.4080755953
437	0.4079418567
438	0.4077628095
439	0.4076702648
440	0.4075171951
441	0.4072970249
442	0.4071236735
443	0.4069196516
444	0.4067644105
445	0.4066073719
446	0.4064869282
447	0.4061909884
448	0.4060219233
449	0.4059049046
450	0.4058151979
451	0.4056014792
452	0.4054716988
453	0.4053137489
454	0.4051677649
455	0.4049709899
456	0.4048720897
457	0.404566398
458	0.4044080588
459	0.404308331
460	0.4040926868
461	0.4039694475
462	0.4038804605
463	0.4037051988
464	0.4034312766
465	0.4032410647
466	0.4031795248
467	0.4030421083
468	0.4029286592
469	0.4027225607
470	0.4025668724
471	0.4023748896
472	0.4023049356
473	0.4021049506
474	0.4019615443
475	0.4017805619
476	0.4016552291
477	0.4014643648
478	0.4012855578
479	0.4011371583
480	0.4010170154
481	0.4008397842
482	0.400700509
483	0.4005731829
484	0.4004914612
485	0.4003133592
486	0.4000324163
487	0.3998940049
488	0.3997738172
489	0.3996522889
490	0.3994782851
491	0.3993533478
492	0.3992396751
493	0.3991098773
494	0.39898917
495	0.3988808808
496	0.398776997
497	0.3986964637
498	0.3985704091
499	0.3984466156
500	0.398266183
501	0.3980535138
502	0.3979021116
503	0.3976706198
504	0.3975064949
505	0.3972088663
506	0.39713093
507	0.3970120122
508	0.396897514
509	0.396782228
510	0.3966244618
511	0.3965142135
512	0.3963355401
513	0.3962104219
514	0.3959602999
515	0.3958052655
516	0.3956115983
517	0.3954986858
518	0.3953298805
519	0.3951735503
520	0.395013205
521	0.3949190524
522	0.3947212196
523	0.3945870672
524	0.394485643
525	0.3942886473
526	0.3941621552
527	0.3940879416
528	0.3939901873
529	0.39385813
530	0.3935665907
531	0.3934147823
532	0.393285326
533	0.393131345
534	0.3930154317
535	0.3928525152
536	0.3926990132
537	0.3925568821
538	0.3924357167
539	0.3923208472
540	0.3921742542
541	0.3920436807
542	0.3918437593
543	0.3916975636
544	0.3915826812
545	0.3914279232
546	0.391277658
547	0.3910726241
548	0.3909636922
549	0.3908408375
550	0.3907158895
551	0.3906033608
552	0.3904608395
553	0.390370565
554	0.3902358252
555	0.3901482739
556	0.3900624624
557	0.3899112596
558	0.3897264093
559	0.3895884769
560	0.3894793558
561	0.389347915
562	0.3892748269
563	0.3891135687
564	0.3890267714
565	0.3888485242
566	0.3887837844
567	0.3886451399
568	0.3884861918
569	0.3883409377
570	0.3881594828
571	0.3880575858
572	0.3879432595
573	0.3878765756
574	0.3877517219
575	0.387623979
576	0.3875217332
577	0.3872710216
578	0.3871619034
579	0.3870937574
580	0.3869647273
581	0.3868589737
582	0.3867294021
583	0.3865462746
584	0.3864164315
585	0.3862872468
586	0.3861763832
587	0.3861053572
588	0.3859792295
589	0.3858964461
590	0.3858538507
591	0.3857095903
592	0.3855900464
593	0.3854940287
594	0.385384409
595	0.3853003315
596	0.3851753638
597	0.3850894212
598	0.3849075971
599	0.384782149
600	0.3846172913
601	0.3844525273
602	0.3843790344
603	0.3842821464
604	0.3840671032
605	0.3839182567
606	0.3837699923
607	0.3836375377
608	0.3834993667
609	0.3833674307
610	0.3831546186
611	0.3830525437
612	0.3829498791
613	0.382811645
614	0.3827158251
615	0.3825668625
616	0.382417115
617	0.3822868355
618	0.3822126425
619	0.3821023402
620	0.381958962
621	0.3818011976
622	0.3817168445
623	0.3816094848
624	0.3815107746
625	0.3812883623
626	0.3811308496
627	0.3809893162
628	0.3808529751
629	0.3806462929
630	0.3805313542
631	0.3804432173
632	0.3803562497
633	0.3802319306
634	0.3801077632
635	0.3800243533
636	0.379884506
637	0.3797968646
638	0.3796817949
639	0.379607958
640	0.3794652446
641	0.3793140007
642	0.3791593486
643	0.3790684389
644	0.3789204541
645	0.3787848066
646	0.3785649419
647	0.3784192805
648	0.3782974512
649	0.3781975632
650	0.3781111288
651	0.3780093318
652	0.377926681
653	0.3778309636
654	0.3777072376
655	0.3776179147
656	0.3775023872
657	0.3773444726
658	0.3772533548
659	0.3771376294
660	0.3770419199
661	0.3769678831
662	0.3768455125
663	0.3766738592
664	0.3765946002
665	0.3764988835
666	0.3764101543
667	0.3762804391
668	0.376137307
669	0.3760501775
670	0.3759513607
671	0.375863946
672	0.3757275761
673	0.3756065522
674	0.3754700775
675	0.3754027796
676	0.3752340672
677	0.3751069195
678	0.3749536317
679	0.3748545425
680	0.3747076604
681	0.374630344
682	0.3745148896
683	0.3744067368
684	0.374316048
685	0.3742442193
686	0.3741475563
687	0.3740272279
688	0.3739235024
689	0.3738184353
690	0.3736897272
691	0.3735803886
692	0.3734509417
693	0.373361951
694	0.3732823161
695	0.373166776
696	0.3730720042
697	0.3729790793
698	0.3728868344
699	0.3728166936
700	0.3726901671
701	0.3725837197
702	0.3723589297
703	0.3722145097
704	0.3720672784
705	0.3719005819
706	0.3717727273
707	0.3716979895
708	0.3716087487
709	0.3715291941
710	0.3714523811
711	0.3713653605
712	0.3712345545
713	0.3710678923
714	0.3709425517
715	0.3708062334
716	0.3706784391
717	0.3705638865
718	0.3704873826
719	0.3703305533
720	0.3702393488
721	0.3701463156
722	0.3700266318
723	0.3699452882
724	0.3698773493
725	0.3697695966
726	0.3696460462
727	0.3696121451
728	0.3695351938
729	0.3693405269
730	0.3692020871
731	0.3690769696
732	0.3689532386
733	0.3688976999
734	0.3687713365
735	0.3686255771
736	0.3685116078
737	0.368423265
738	0.3683055029
739	0.3681954514
740	0.3681314082
741	0.3680436053
742	0.3679397473
743	0.367796931
744	0.3676643845
745	0.3675888433
746	0.3674386513
747	0.3673047467
748	0.3672094919
749	0.367100872
750	0.3670308317
751	0.3669605809
752	0.3668613025
753	0.3667428812
754	0.3666543494
755	0.3666258373
756	0.3665071741
757	0.366380184
758	0.3662612203
759	0.3661369478
760	0.3660452592
761	0.3659761741
762	0.3658939753
763	0.3658261008
764	0.3657614975
765	0.3656805139
766	0.3655728376
767	0.3655003225
768	0.3653948867
769	0.3652797933
770	0.365137598
771	0.3650650729
772	0.3649645476
773	0.3648742316
774	0.3647871988
775	0.3646553344
776	0.3645864982
777	0.3645072839
778	0.3643690708
779	0.3642788319
780	0.3641772785
781	0.3640121186
782	0.3639302255
783	0.3638254022
784	0.3637516695
785	0.3636258574
786	0.3635498441
787	0.36346169
788	0.3633698273
789	0.3632951058
790	0.3631843796
791	0.3631146811
792	0.3629708978
793	0.3628556089
794	0.3627543635
795	0.3626739924
796	0.3626156639
797	0.3624001197
798	0.3623054332
799	0.3622397531
800	0.3621373875
801	0.3620640523
802	0.3619613156
803	0.3618680641
804	0.3617569105
805	0.3616654241
806	0.3615847332
807	0.3614907108
808	0.3613921233
809	0.3613287385
810	0.36120308
811	0.3611147409
812	0.361039584
813	0.3609590413
814	0.360912715
815	0.3608300137
816	0.3606925645
817	0.3605677266
818	0.3604728146
819	0.3603965949
820	0.3603049034
821	0.3602412154
822	0.3601462574
823	0.3600622395
824	0.3599670312
825	0.3598404467
826	0.3597948082
827	0.3596998785
828	0.3596118245
829	0.3595456305
830	0.3594858602
831	0.359378415
832	0.3592598522
833	0.3591296095
834	0.3590251701
835	0.3589028055
836	0.3588143431
837	0.358718831
838	0.3586283913
839	0.3584935198
840	0.3584514494
841	0.3583415608
842	0.3581743505
843	0.3580871317
844	0.3579690721
845	0.3578720186
846	0.3578095709
847	0.3577525883
848	0.3576733416
849	0.357585293
850	0.3574586624
851	0.3573828626
852	0.3572097388
853	0.3571228704
854	0.3570504122
855	0.3569468947
856	0.356833289
857	0.3567640118
858	0.3566661698
859	0.3565852061
860	0.3565126665
861	0.356422683
862	0.3563809514
863	0.3563137901
864	0.3562398472
865	0.3561700268
866	0.356131165
867	0.3560148687
868	0.355948152
869	0.355904574
870	0.3558022349
871	0.3557030101
872	0.3555981462
873	0.3555155472
874	0.3554669104
875	0.3552694448
876	0.3551979651
877	0.3550871767
878	0.3550022665
879	0.3548275671
880	0.3547597343
881	0.3546773562
882	0.354555964
883	0.3544786838
884	0.3544111282
885	0.3543552685
886	0.3542948103
887	0.3541652043
888	0.3540368251
889	0.353942538
890	0.3538503055
891	0.3537897174
892	0.3536865579
893	0.3535919139
894	0.3534765554
895	0.3533996364
896	0.3533045025
897	0.3532253367
898	0.353132521
899	0.3530477379
900	0.3528979265
901	0.3527334493
902	0.3526175416
903	0.3525315824
904	0.3524531913
905	0.3523218686
906	0.3522355736
907	0.3521748543
908	0.3521112048
909	0.3520117466
910	0.3519286482
911	0.3518398526
912	0.3518100461
913	0.3516598259
914	0.3515889353
915	0.3514738709
916	0.3513704791
917	0.3512681578
918	0.3511662552
919	0.3510314492
920	0.3509351162
921	0.3508423555
922	0.3507290983
923	0.3506593816
924	0.3506036419
925	0.3505142337
926	0.3504122612
927	0.3503460308
928	0.3502430012
929	0.3502025164
930	0.3500582058
931	0.349995238
932	0.3499371689
933	0.3498427813
934	0.3497895907
935	0.349688642
936	0.3495422433
937	0.3494511798
938	0.3493398574
939	0.3492582839
940	0.3491801433
941	0.3491309431
942	0.3490458345
943	0.3489348606
944	0.3488392678
945	0.3487831591
946	0.3487040719
947	0.3486448013
948	0.3485181816
949	0.348447568
950	0.3483831292
951	0.348265982
952	0.3481913623
953	0.3480681479
954	0.3480010021
955	0.3479181878
956	0.347844174
957	0.3477649424
958	0.3476852528
959	0.3476139709
960	0.3475439412
961	0.347430169
962	0.3473552285
963	0.3472403892
964	0.3472018581
965	0.3471070165
966	0.3470276699
967	0.3469644334
968	0.3468795216
969	0.3468145274
970	0.3467109016
971	0.3466220016
972	0.3465359198
973	0.346442908
974	0.3463245844
975	0.3462565095
976	0.3462172297
977	0.3461562322
978	0.346103229
979	0.3460379096
980	0.3459707277
981	0.3458979609
982	0.3458259251
983	0.3457062206
984	0.3456501721
985	0.3455643149
986	0.3455006362
987	0.3454636129
988	0.3453940457
989	0.3453690516
990	0.3452369855
991	0.3451695372
992	0.3450837047
993	0.3449993362
994	0.3449297339
995	0.3448237269
996	0.3447022823
997	0.3446608804
998	0.3445312643
999	0.3444577608
